0: 76,867
1: 531,701,980,371
2: 990,1034,583
3: 1111,423,815
4: 117,289,330
5: 525,67
6: 1137,1012
7: 870,236
8: 215,150,1130
9: 758,306,922
10: 864,26,849,995,1008
11: 376,491,29,983,901,216
12: 548,554,797
13: 441,480
14: 403,1070,810,614
15: 475,157
16: 786,213
17: 156,305
18: 506,55,362,509
19: 1128,388,1139,774,255
20: 777,79,1033
21: 930,810
22: 859,1097,425,1031
23: 959,851,186,476,594,68
24: 724,1009,348
25: 232,658,201,754
26: 864,472,10,444,995
27: 878,502
28: 974,552,1053
29: 569,376,11,194,983
30: 1067,863,1136
31: 819,292
32: 722,308,668
33: 769,253,817,225,493,931
34: 905,313,825
35: 459,318,233,418
36: 
37: 462,366,572,548
38: 1030,634,69
39: 686,467
40: 174
41: 436,1123,595,1046,434
1082: 1084,534,360,49,107
43: 615,551,68,113
44: 1019,352,373
45: 1118,595,568,499
46: 80,123,996,91
47: 144,295,1014
1043: 984,347,854
49: 221,360,688,890,1082
50: 483,124,898
51: 764,299
52: 364,1106,307
1068: 156,528
54: 393,847,855,806
55: 81,585,18
56: 71,276,1026
57: 315,585,222,369
58: 946,1124,790,490
59: 179
60: 863,643,625
61: 733,751,301,818
62: 119,984,780
63: 881
64: 972,1006,275
65: 963,340,611
1085: 1140
67: 309,5,159
68: 594,962,186,43,23
69: 38,994
70: 1001,1019
71: 203,276,1026,1016,56
72: 870,1031,743,206,627
73: 223,212,115
74: 121,401,673,288
75: 918,1139,890,1116,1100
76: 837,501,0,83,1005
77: 490,1124,451
78: 813,394,85
79: 1033,20
80: 46,91,466,133
81: 622,55,222
1136: 221,360,30,1067
83: 542,873,868,1005,76,1049
84: 619,802,266
85: 591,858,78
1137: 6,855,806
87: 257,477,982,944
88: 980,320,657
89: 1117,702
90: 733,162,110,238
91: 269,996,80,46,466,1036
92: 507,559
93: 889,700
94: 262,622,854
95: 953,1129,958
96: 951,304,390
1099: 982,310
1064: 396
99: 1132,986,158
100: 593,183,267,241
101: 856,792
102: 1018,575,1041,168,725
103: 1039
104: 1127,235,1003
105: 760,578,465
106: 677,736,879
107: 338,1067,360,1082,534
108: 161
109: 151,1075
110: 238,90,162
111: 1023,947,793,955
112: 334,1054
113: 779,286,43,551,350,962
114: 330,973,245,538,574
115: 73
116: 744,326,339,970,381
117: 4,330
118: 799,321
119: 62,384
120: 405,999,1093
121: 407,957,74,638,673
122: 415,968,420
123: 842,848,46,996
124: 50,483,160,659,294
125: 987,230,485,478
126: 536,416,142
127: 466,133,218,1036,1057
128: 374,954,877,856
129: 328,959
130: 747,497,450
131: 1131,757
132: 227,586,522
133: 466,127,139,80,899
1125: 644,562,924,1086
135: 827,642
1098: 1130,246,215,767
137: 437,438,540,782
138: 821,904,619,266,838
139: 133,899,510
140: 556,592,482
1060: 335,741,1077,508
142: 1032,126,416,538
1093: 999,120,1071
144: 47,295,992,1014
145: 977,942,711,964,460
146: 195,596,646,583,1080
147: 1002,1084,708
148: 339
1038: 993,516,451,240,234
150: 282,8
151: 109,897,835,558
1086: 910,180,1125,924
153: 1021,876,946,567
154: 969,355,533
155: 503
156: 1068,17
157: 755,15,475
158: 606,1088,1132,99
159: 522,586,67
160: 1047,659,124,294
161: 108,528
162: 733,90,751,110
163: 563,189,869,882
164: 1112,823,965,887,422,971
165: 259,297,546,659,483
166: 
167: 
168: 739,822,1041,102,1061
169: 349,527
170: 987
1107: 1069
172: 772,549,1055,428,517
173: 938,893,313,1024,825,487
174: 40,399,281
175: 782,242
1096: 333
177: 615
178: 332
179: 738,426,59
180: 599,214,511,1086
181: 620,597
1081: 332,878
183: 593,100,231,267
1089: 
185: 
186: 1079,476,23,68
187: 363,327,881
1100: 75
189: 163,305,869
190: 272,596,457,412,1034
191: 425,693,859
192: 296,1115,608
193: 992,502
194: 983,956,569,29,648
195: 146,481,596,457
1048: 653,290,1079
1059: 
198: 427,298,361,413,600,1001
199: 640,966,403,1049,614
200: 691,929,1129,271
201: 776,754,25,658
1078: 524,404,725,1018,1092,498
203: 71,1016
204: 486,1047,885
205: 371,717,445
206: 288,627,1045,72
207: 1072,1103,579
208: 637
209: 
210: 224,931,225,605
211: 709,905,701,713
212: 73,223,270
213: 677,16,256
214: 599,180
215: 8,926,767,1098
216: 901,491,11,952
217: 903,932,424,1028,664
218: 1036,127,1057
219: 998,363,327,812
220: 948
221: 360,49,1136,643,688
222: 585,57,81
223: 73,212,336
224: 607,931,210,232
225: 493,33,931,210
226: 497
227: 132,632,522
228: 488,316,553,807,656
229: 712,888,789,1044,513,1035
230: 125,485,535,514
231: 355,593,183
232: 25,658,769,224,931
233: 975,418,35
234: 516,1038,759
235: 359,104,1127,889,453
236: 674,7,937,676
1061: 739,168,1021,790
238: 523,110,90
239: 749
240: 1122,1101,1038
241: 718,267,100,894
242: 1017,175,1042
243: 440,1066,755,1112
244: 
245: 973,114,675,538
246: 1130,1098,1131
247: 953,271,1126,394
248: 357,473,912
249: 758,454
250: 358,1120,820,645
1083: 649,259,297,795
1035: 612,513,978,912,712,229
253: 33,263,1042,817,1017
254: 1037,1040
255: 774,322,1116,894,19
256: 879,382,677,213
257: 1097,87,395
258: 917,384
259: 297,165,483,1083
260: 393
261: 847
262: 94,362
263: 253,1042
264: 711,460
1114: 651,665,635,1103
266: 802,84,619,138,838
267: 718,241,100,183
268: 329,792
269: 996,91
270: 212,396
271: 247,953,200,1129
272: 190,457,831,949,412
1101: 498,240,689
1080: 646,146
275: 429,64,623,1029
276: 71,1026,1016,56
277: 680,862,683
1102: 766,1069
1126: 813,630,394,247,953,560
280: 631,778,1000
281: 898,294,399,174
282: 695,150,311
283: 341,797,554,715
284: 
1119: 748,359
286: 113,779,962,957,401
287: 489,391,526,446
288: 206,627,1045,74
289: 330,973,682,4
290: 1048
291: 818
292: 849,819,31
1052: 1109,1073,843
294: 281,898,160,399,124
295: 47,144
296: 192,1115,829,608
297: 259,795,165,1083
298: 198,427,361,671
299: 1004,1135,400,621,51
300: 1062,991,1140
301: 61,818
1139: 708,918,75,19,1128
303: 337,740,985,639
304: 928,951,1011,96
305: 869,189,17
306: 922,9
307: 52,1106
308: 949,412,32
309: 67,441
310: 935,1099,395
311: 479,1092,1007,282,695
312: 418,1111,815
313: 905,173,938,34
314: 1032
315: 585,57,995
316: 488,228,553
1049: 474,542,83,868,199,966
318: 459,35
1070: 403,14,810
320: 373,657,88
321: 1053,118
322: 255,894,718,353
323: 917,370,486
324: 698,358,687,566
1028: 424,770,217
326: 744,116,970
327: 363,187,219
328: 129,653,476,959
329: 268,792,368,938
330: 289,973,114,117,4
331: 642,727
332: 1081,178
333: 1096
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 303,740,639,1088
338: 107,534,1002
339: 927,148,116,381
340: 65,963,611
341: 283,949
1024: 888,789,173,893,487
1037: 697,254,1040,489,921
1103: 207,1072,1114,940,635
345: 372
346: 559,961,922
347: 984,1043,447
348: 948,24,942,377
349: 169,527,535
350: 551,113,779,565
351: 581,550
352: 44,1019
353: 742,322
1063: 718
355: 231,154
356: 367
357: 248,473,730,866
358: 250,1120,687,324
359: 235,748,1119,889
360: 221,49,1136,1067,107,1082
361: 198,298,671,1019,1001
362: 622,18,262,509
363: 327,881,187,219
364: 52
365: 923
366: 37,753
367: 356
368: 938,893,329,1044,789
369: 993,516,57
370: 875,486,323
371: 205,531,1,980
372: 345,405
373: 320,44
374: 954,128,877,587,600
1128: 19,388,1139
376: 491,11,519,29
377: 348,948,977,942,939
378: 
1116: 894,75,255
380: 1117,397
381: 116,339,970
382: 256,495
1077: 1060,741,508
384: 917,258,780,119
1074: 775
386: 1115,732
1033: 850,79,20
388: 19,1128,774
1066: 440,243,923
390: 704,96
391: 572,287,446
392: 554,402,715
393: 847,54,260
394: 813,1126,247,858,78
395: 425,310,935,257
396: 1064,270
397: 380
398: 874,545,866
399: 885,174,281,294
400: 1135,1004,299
401: 286,957,74
402: 392,1025,715
403: 14,1070,614,199
404: 824,524,1078,1113,695,1092
405: 999,120,372
1075: 686,109,848
407: 121,957,851,594,853
1110: 443,1104
409: 1056,703
410: 828,729,963
411: 561,750,925
412: 308,272,190
413: 587,600,1027,198,1001,512
1032: 142,416,314
415: 122,968,419,420,533
416: 941,126,142,1032
417: 667
418: 975,1111,312,233,35
419: 807,415,968
420: 415,122,941
421: 914,604,965,469
422: 871,605,607,164,823,887
423: 3,815
424: 1028,217,664
425: 395,191,859,22
426: 179
427: 198,298,452,600
428: 549,172,517
429: 275,899
430: 826,1023,947
431: 921,537,801,930
1084: 1082,534,708,918,147,1002
1030: 759,38,634
434: 41,584,700
1135: 400,621,683,299
436: 41,1118,595,791
437: 137,438,802,781
438: 137,437,540
439: 1004,809
440: 1066,243,475,934,755
441: 13,309
442: 737
443: 1110,814,1104,620
444: 472,26
445: 720,205,699,839
446: 287,391
447: 875,347
448: 812,1011,598,681
449: 648,683
450: 947,747,130
451: 1122,77,993,1038
452: 954,427,600
453: 1003,235,889
454: 687,566,936,249
455: 
456: 
457: 272,190,596,1025,831,481,195
458: 624
459: 318,35
460: 964,711,264,145
461: 794,841
462: 37,903,932
463: 547,704,925
1067: 30,360,1136,107
465: 105,760
466: 127,133,80,91,1036
467: 39,820
1079: 186,476,1048
469: 965,971,421
470: 793,654,1022
1130: 1098,246,8
472: 864,26,798,444
473: 357,248,912
474: 1049,633,501,868
475: 960,15,157,755,440
476: 1079,186,653,328,959,23
477: 779,565,982,944,87
478: 485,987,125
479: 311,1092,1007,498
480: 13
481: 967,1025,457,195
482: 140
483: 50,124,659,259,165
484: 663
485: 478,125,230,514
486: 204,370,323,885
487: 825,173,893,1024
488: 228,316,641
489: 287,1037,526
490: 77,58,1124,1122
491: 376,11,952,216
1091: 576
493: 225,817,33,770,601
1087: 1090
495: 960,382
1069: 766,1102,1107
497: 747,130,226
498: 1101,1078,1018,479,1092
499: 1121,45,1118
500: 1140,991,746
501: 837,76,633,474,868
502: 193,27
503: 155,530,1041
1112: 164,823,243,971
505: 616,643,795,762,688
506: 18,745,509
507: 961,920,559,92
508: 521,1060,1077
509: 362,18,506
510: 788,139
511: 910,180,599,972,623
512: 413,1027
513: 978,937,229,1035
514: 527,535,230,485
515: 
516: 993,1038,369,234,759
517: 952,428,172
518: 788
519: 376
520: 530,666,824
521: 508
522: 159,227,132,586,632
523: 1039,1065,238
524: 824,404,1078,725,666
525: 586,1007,5,689
526: 670,287,489
527: 535,514,169,349
528: 161,1068
529: 
530: 520,666,503
531: 701,1,713,371
1115: 386,192,296,732,663
533: 969,154,415
534: 1084,1082,338,107,1002
535: 527,514,230,349
536: 667,126
537: 801,728,697,921,431
538: 574,1039,142,245,114
1047: 160,1003,204,885
540: 699,137,438
1023: 111,947,430
542: 83,873,868,1049,966
1092: 311,479,404,1078,695,498
544: 
545: 874,398,736,786
546: 659,165
547: 463,925,772,750
548: 12,572,37
549: 772,172,428
550: 990,1034,351
551: 350,43,615,113
552: 28,974,1053
553: 684,228,316,656
554: 392,12,283,797
555: 757
556: 140,592,581
557: 
558: 599,151,972,1006
559: 346,578,507,92
560: 953,892,958,630,1126
561: 411,750,1020,1055
562: 644,1125,924,674
563: 163,732,663
1133: 740
565: 477,779,350,982
566: 687,454,698,324
567: 719,153,710,946
568: 45
569: 29,194
570: 776
1117: 89,702,380
572: 391,37,548
573: 902,839,654
574: 538,1039,114,1065
575: 1041,666,725,102
576: 1091
1140: 1085,500,991,300
578: 559,105
579: 207,1072,989
580: 854,994,738
581: 556,351
1036: 218,91,466,127
583: 646,596,146,2,1034
584: 1095,613,700,434
585: 315,222,57,55
586: 525,132,159,522
587: 413,600,1027,374,610
1124: 710,58,77,490
589: 734,741
590: 1009
591: 85,1016
592: 140,556
593: 100,183,231
594: 962,68,851,23,407,957
595: 45,1118,1046,436,41,1123
596: 190,457,195,146,1034,583
597: 814,620,181
598: 681,448
599: 214,558,180,511,972,1006
600: 413,587,452,374,198,427
601: 770,1022,817,1017,493
602: 737,771,603
603: 602,771
604: 914,421,965,887,832
605: 422,871,607,210
606: 1073,158,1088
607: 224,422,605,823
608: 829,761,192,296
609: 778,794
610: 877,587,1027
611: 65,340
612: 1035,712,678,904
613: 1095,584,700
614: 403,14,199
615: 43,177,551
616: 505,795
1055: 772,172,561,750
618: 
619: 84,678,138,904,266
620: 181,443,814,597
621: 648,683,1135,299
622: 81,362,94
623: 972,511,910,1029,275
624: 458,739,822
625: 863,60
1046: 595,41,1123
627: 206,288,1045,72,870
628: 1040,656
629: 909
630: 813,1126,560,892
631: 280,981
632: 227,522
633: 837,501,474
634: 1030,759,38
635: 1114,1072,1103
1025: 831,715,402,967,481,457
637: 208,1134
638: 669,121,673
639: 1109,1088,303,337
640: 199,966,1013
641: 969,488,807
642: 331,727,827,135,731
643: 60,505,221,688
644: 562,1125,674
645: 250
646: 583,1080,146
647: 664
648: 621,683,449,194
649: 1083,795,762,872
650: 749
651: 665,1114,760
652: 805
653: 1048,476,328
654: 793,470,902,573
1045: 206,288,627
656: 228,553,628
657: 711,320,88
658: 25,232,201,769
659: 160,546,165,483,124
1118: 45,595,1121,499,791,436
1031: 72,870,1097,22
662: 1108
663: 484,732,1115,563
664: 217,932,424,647
665: 651,1114,760,940
666: 520,530,575,524,725
667: 536,417
668: 873,722,32
669: 853,638
670: 526,867,837
671: 298,361
672: 826,747
673: 121,74,638
674: 236,644,562,937
675: 900,773,682,973,245
676: 1044,937,236
677: 106,786,879,256,213
678: 712,888,612,619,904
1111: 975,418,312,3,815
680: 277,884
681: 598,448,812
682: 773,675,289,973
683: 648,621,277,449,1135
684: 553
685: 
686: 1075,848,39
687: 566,454,358,1120,936,324
688: 762,890,643,505,221,49
689: 1007,1101,525
1029: 910,623,275
691: 200
692: 886
693: 935,191
1104: 981,1000,714,443,1110
695: 282,1113,404,311,1092
1121: 499,1118
697: 1037,728,1040,537,921
698: 324,566
699: 540,720,445
700: 584,613,434,93
701: 531,1,211,709,713
702: 1117,89
703: 726,1056,409
704: 390,463
1026: 71,276,56
706: 928
707: 967,862
708: 918,1139,1084,147
709: 211,701
710: 946,1124,567
711: 657,264,145,460
712: 678,888,229,612,1035
713: 211,905,531,701
714: 1104,1000
715: 1025,831,392,402,283
716: 775
717: 839,205
718: 1063,267,241,894,322
719: 567,1053
720: 445,699,782
721: 929,945,908
722: 32,873,1005,668
1129: 929,945,200,95,271
724: 24,1009
725: 524,1078,666,575,102,1018
726: 1056,703
727: 331,642,731
728: 1040,697,537
729: 410
730: 357,866
731: 642,727
732: 386,1115,563,663
733: 90,162,751,61
734: 589,335
735: 744,927
736: 106,874,545
737: 602,442
738: 179,994,580
739: 168,822,624,1021,1061
740: 303,337,985,1133
741: 335,1060,1077,589
742: 353
743: 944,72
744: 116,326,735
745: 506
746: 500
747: 130,497,672,947,450
748: 783,359,1119
749: 650,239
750: 411,561,547,925,772,1055
751: 733,162,1013,61
1097: 257,1031,22
753: 1022,366,903
754: 201,25
755: 157,475,440,243
756: 844
757: 555,131
758: 9,249,961,922
759: 1030,234,516,634
760: 105,465,651,665
761: 829,608
762: 688,890,872,505,795,649
1088: 1109,639,337,1073,606,158
764: 51
1095: 584,613
766: 1102,1069
767: 926,215,1098
1108: 1105,662
769: 33,232,658,931
770: 601,493,903,1028
771: 602,603
772: 549,172,1055,547,750
773: 675,682
774: 255,19,388
775: 716,1074
776: 570,201
777: 832,20,871,887
778: 609,280,794,841
779: 113,477,286,565,350
780: 917,384,984,62
781: 802,437
782: 175,137,720
783: 748,1127
1120: 250,358,820,936,687
1027: 413,587,610,512
786: 16,545,677
787: 
788: 510,518
789: 888,229,1024,1044,368,893
790: 58,946,1021,1061
791: 796,1118,436
792: 329,268,101
793: 654,470,111,955
