322: 353,742,1014,718
323: 917,780,347,486,370
324: 687,358
1028: 887,164,422,604,965
326: 744,116,970
327: 105,760,187,219
328: 653,1038,476,959
329: 368,268
330: 1152,289,1039
331: 642,727,1020,691
332: 178,1081
333: 1096,748
334: 112,1054,805,1007
335: 1060,741,734
336: 125,1048,223
337: 1165,1148,1132,158
338: 107,534,1146
339: 927,148,116,381
340: 65,963,1056,409,611
341: 283,1049,797,308,949
1024: 201,570,781,776
1037: 807,174,281
1103: 207,1114,940,635
345: 372,1150
346: 559,922
347: 984,447,875,323,780
348: 948,24,942,377
349: 169,527,535
350: 551,113,779,565
351: 556,581,550,990
352: 88,320,1023
353: 742,322,1014
1151: 32,308,412,668
355: 231,898,154,641
356: 367
357: 248,473,866
358: 1120,1155,1036,324,687
359: 1119,235
360: 221,49,1136,1067,1082
361: 745,671
362: 94,262,622
363: 681,63
364: 52,1106
365: 971,923,469
366: 37,903,753
367: 1085,356
368: 329,789
369: 516,993,57
370: 486,1043,875,323
371: 205,699,531,1,980
372: 345,405
373: 320,44,1023,1019
374: 128,877,452,600,587
1128: 388,19,147,144
376: 519,1144,952,491
377: 348,948,942,939
1160: 161,528
1116: 894,1139,255
380: 1168,1117,1013,397
381: 116,339,970
382: 1042,256,931,495
1077: 1060,741,508
384: 917,119,62
1074: 775
386: 140,592,482,89
1033: 683,1135,621,299,764,648
388: 1128,19,774
1066: 440,243,923
390: 704,96
391: 572,446,130,450,287
392: 932,1022,715,402
393: 
394: 858,85,247,78
395: 425,310,935,257
396: 1064,270
397: 380
398: 730
399: 885,174,281,294
400: 862,1135,621
401: 1044,288
402: 392
403: 14,1070,199
404: 1062,991,824,1113,524,1078
405: 999,120,372
1075: 109,848
407: 1044,1045,957,74
1110: 1104
409: 1056,1026,340,703
410: 729,1004,963
411: 561,750,925
412: 308,272,190,1151
413: 587,198,600,512
1032: 267,667,417,533,416
415: 533,969
416: 941,1032,420,417
417: 420,533,1032,416
418: 975,1111,312,1006,459
419: 656
420: 417,122,941,416
421: 469,519,965,914,604,569
422: 164,1028,607,823,605
423: 3,815,214
424: 493,225,210,605
425: 395,191,859,22
426: 104,1127,179
427: 452,31,298
428: 549,172,952,517
429: 275,80,466
430: 826,947
431: 537,921,930
1084: 1082,1146,918
1030: 632,441,480
434: 41,584,700
1135: 862,400,621,1033,683
436: 595,796,791
437: 802,84
438: 720,137,782
439: 2,646,1034,761,729
440: 1066,243,475,934,755
441: 632,522,1030,159,309
442: 737
443: 1104,814,620
444: 993,315,26,472
445: 205
446: 572,391,287
447: 347,738,875
448: 812,598,681
449: 29,277,194
450: 947,747,130,391
451: 1124,1122,490
452: 427,374,954,600
453: 889
454: 1011,249,1036,566,687,758
455: 729
456: 
457: 190,831,272,596
458: 624
459: 418,312
460: 145,964
461: 794,989,841
462: 37,903,548
463: 547,704,925
1067: 30,360,1136
465: 1141,105,760,665,1153
466: 80,429,899
467: 39,820,250
1079: 43,615,68,177,186
