0: 867,76
1: 531,701,980,371
2: 990,583
3: 1111,423,815
4: 117,289
5: 689,1038,586,67
6: 855,806
7: 1045,627,870
8: 215,150,1130
9: 758,1036,306
10: 864,26,849,995
11: 376,491,29,983,901,216
12: 548,554,797
13: 441,480
14: 403,614,1070,810,1039,1013
15: 475,157
16: 786,213
17: 156,305
18: 55,506,362,509
19: 1128,388,75,774,255
20: 832,777,1033,1028,79
21: 930,810
22: 859,1031,1097,425
23: 959,851,186,476,594,68
24: 724,348
25: 232,658,201,754
26: 864,10,315,995
27: 878,502
28: 974,552,1053
29: 569,376,11,194,983
30: 1067,863,221
31: 819,292
32: 722,1005,308,668,1034
33: 769,253,493,225
34: 905,313,825
35: 459,318,233,418
36: 1098
37: 462,366,572,548
38: 759,1030,634,69
39: 686,467
40: 174
41: 1123,1046,434,595,436
1082: 1084,338,107,534
43: 615,551,68,113
44: 361,1019,352,373
45: 1118,595,568,499
46: 80,123,996,91
47: 144,295
1043: 82,94,984,347,590,62
49: 221,360,688
50: 483,124,294,898
51: 764,299,1004
52: 364,1106,307
1068: 156,528
54: 393,847,855,806
55: 18,585,1008,81
56: 71
57: 759,1030,369,222
58: 946,1124,790,1018
59: 179
60: 863,643,625
61: 751,733,301,818
62: 119,984,1043,780
63: 881
64: 972,558,1006,275
65: 963,340,611
1085: 500,991,300
67: 309,5,159
68: 594,962,186,43,23
69: 38,861,994
70: 352,1001
71: 56
72: 870,743,1097,206,627
73: 223,212,115
74: 121,401,673
75: 708,918,1116,19,1128
76: 722,1005,0
77: 490,1124
78: 813,394,85
79: 20,1033
80: 46,91,133
81: 622,585,222,55
82: 1043,94,590
83: 542,873,501,868
84: 619,1024,802,266
85: 591,858,78
86: 546,1003
87: 257,477,982,944
88: 980,320,657
89: 1117,702
90: 733,238,110,162
91: 269,996,80,46,466
92: 507,559
93: 889,1046,700,1003
94: 262,347,1043,82
95: 560,953,271,945,1129,958
96: 304,951
1099: 982,310
1064: 396
99: 1132,986,158
100: 593,183,267,241
101: 856,1045,1027,792
102: 725,666,575,168
103: 523,1039,1032
104: 1127
105: 760,578,465
106: 677,736,879
107: 338,1067,360,1082
108: 161
109: 151,1075,1006
110: 1013,162,523,238,1039,90
111: 430,947,1023,793,955
112: 334,1054
113: 779,286,43,551,350,962
114: 574,538,330,973,245
115: 73
116: 744,326,339,970,381
117: 4,330
118: 799,321
119: 62,384
120: 405,999,1093
121: 407,957,74,638,673
122: 415,968,420
123: 842,848,46,996
124: 659,294,50,483
125: 987,230,485,478
126: 536,416,142
127: 133,218,466,1057
128: 374,954,877,856
129: 328,959
130: 747,497,450
131: 1131,757
132: 525,586,1007,227,522
133: 899,127,80,466
1125: 644,562,1031,1086
135: 827,642
1098: 1130,246,215,767,36
137: 437,438,540,782
138: 821,619,266,838
139: 899,510
140: 556,592,482
1060: 335,741,1077,508
142: 1032,416,126,314
1093: 999,120,1071
144: 47,295,992
145: 977,942,711,964,460
146: 195,596,646,583,1080
147: 534,1002,1084,708
148: 339
1038: 234,689,240,5
150: 282,8
151: 109,897,835,558,1006
1086: 910,1125,924
153: 876,1021,946
154: 969,355,533
155: 503,530
156: 1068,17
157: 755,15,475
158: 606,1088,1132,99
159: 522,586,67
160: 659,204,1047,546,1003
161: 108,528
162: 110,1013,733,90,751
163: 563,189,869,882
164: 1112,823,965,887,422
165: 546,659,259,483
166: 
167: 
168: 575,822,739,1061,102
169: 349,527
170: 987
1107: 1069
172: 772,549,1055,428,517
173: 368,938,313,893,825,487
174: 40,399,281
175: 242,1042
1096: 333
177: 615
178: 332,1014
179: 738,426,59
180: 214
181: 620,597
1081: 332,878
183: 593,100,231,267
1089: 
185: 
186: 1079,476,23,68
187: 363,327,881
1100: 1116
189: 163,305,869
190: 272,596,412
191: 425,693,859
192: 296,1115,608
193: 992,502
194: 983,956,569,29
195: 146,596,457
1048: 843,290,803,909,629
1059: 
198: 427,298,413
199: 640,403,614,966
200: 691,929,1129,271
201: 776,754,25,658
1078: 725,524,1092,498
203: 276
204: 1047,486,160,885
205: 371,717,445
206: 288,627,743,72
207: 1072,1103,579
208: 637
209: 
210: 224,931,225,605
211: 709,905,701,713
212: 73,223,270
213: 677,16,256
214: 599,180
215: 8,926,767,1098
216: 901,491,11,952
217: 903,932,664,424
218: 466,127,1057
219: 998,363,327,812
220: 948
221: 360,49,643,30,688
222: 585,57,1030,81
223: 73,212,336
224: 607,931,210,232
225: 33,931,210
226: 1040,497
227: 132,632,522
228: 488,316,553,656
229: 937,676,1044,513,712,789
230: 125,485,535,514
231: 355,593,183
232: 25,658,769,224,931
233: 975,418,35
234: 240,1038,516
235: 359,1127,889
236: 674,676
1061: 739,1021,168,790
238: 523,110,90
239: 749
240: 234,689,1038,1101
241: 718,267,100,894
242: 175,263,253
243: 440,1066,755,1112
244: 
245: 973,675,114,538
246: 1130,1098,1131
247: 953,271,1126,394
248: 357,473,912
249: 758,1036,454
250: 358,1120,820,645
1083: 649,259,297,795
1035: 612,978,513,912
253: 33,242,817,493
254: 684,1040,628,1037
255: 774,322,1116,894,19
256: 879,382,677,213
257: 1097,87,395
258: 917,384
259: 297,165,483,1083
260: 393
261: 847
262: 94,362,509,1009,590
263: 242
264: 711,460
1114: 651,665,635,1103
266: 802,84,619,138,838
267: 1063,718,241,100,183
268: 329,792,1045
269: 996,91,1036
270: 212,396
271: 953,95,247,200,1129
272: 190,457,831,949
1101: 498,240
1080: 646,146
275: 429,972,64,623
276: 1016,203,591
277: 862,680,683
1102: 766,1069
1126: 813,630,394,953,247
280: 714,1000,631,778,981
281: 898,399,294,174
282: 695,150,311,1007
283: 341,797,554,715
284: 
1119: 748
286: 113,779,962,957,401
287: 446,489,391,526
288: 206,627,435
289: 330,973,682,4
290: 803,1048,653,629
291: 818
292: 849,819,31
1052: 1109,1073,843
294: 399,124,50,281,898
295: 47,144,1002
296: 192,1115,829,608
297: 259,795,1083
298: 198,427,671,361
299: 400,439,1135,51,1004
300: 1062,991,1085
301: 61,818
302: 
303: 337,740,985,639
304: 96,951
305: 869,189,17
306: 922,9
307: 52,1106
308: 949,412,32,1034
309: 67,441
310: 935,1099,395
311: 479,1092,282,695,525,1007
312: 418,1111,815
313: 173,938,34,825
314: 142,1032
315: 585,26,995
316: 488,228,553
1049: 966,474,403,1070
318: 459,35
1070: 403,14,810,1049
320: 657,88
321: 1053,118
322: 255,894,718,353
323: 917,370
324: 698,358,687,566
1028: 424,871,20
326: 744,116,970
327: 363,187,219
328: 129,476,959
329: 268,792,1044,938
330: 289,973,114,117
331: 642,727
332: 1081,178
333: 1096
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 303,740,639,1088
338: 107,1082,534
339: 927,148,116,381
340: 65,963,611
341: 283,949
1024: 84,888,619,487
1037: 697,254,489
1103: 207,1072,1114,940,635
345: 372
346: 559,758,961,922
347: 984,854,94,1043
348: 948,24,942,377
349: 169,527,535
350: 551,113,779,565
351: 581,550,990
352: 70,1001,44,373
353: 742,322
1063: 718,267,742
355: 231,154
356: 367
357: 248,473,730,866
358: 250,1120,687,324
359: 235,748,889
360: 221,49,1067,107
361: 1019,44,671,298
362: 262,622,18,509
363: 327,881,187,219
364: 52
365: 923
