0: 1005,76
1: 531,701,980,371
2: 1034,583,990
3: 1111,423,815
4: 117,289,330
5: 159,67,525,586,1007
6: 1137
7: 268,627,236,870
8: 215,150,1130
9: 758,306,922
10: 864,26,849,995
11: 491,29,1144,983,901,216
12: 548,554,797
13: 441,480
14: 403,1070,810,614
15: 475,157
16: 786,213
17: 156,305
18: 506,1008,362,509
19: 774,255,1139,1002,1128,388
20: 777
21: 930,801,1040,810
22: 859,1097,425
23: 959,851,476,186,594,68
24: 724,348
25: 232,658,769,201,754
26: 864,10,472,444,995
27: 878,502
28: 974,552,1053
29: 569,1144,11,194,983
30: 863,1067,1136
31: 819,292
32: 722,308,668
33: 225,601,1042,817,253,1022
34: 713,905,313,173,825,1024
35: 459,318,233,418
36: 
37: 462,366,548
38: 994,69
39: 686,467
40: 174,258
41: 436,1123,595,434
1082: 1084,534,360,49,107
43: 615,1079,551,68,113
44: 1019,373
45: 1118,1046,568,499
46: 80,123,996,91
47: 295
1043: 854,994,580,738
49: 221,360,688,890,1084,1082,918
50: 898,124,593,231
51: 764,299
52: 1133,364,1106,307
1068: 156,528
54: 393,1012,855,806
55: 81,1008,585,222
56: 276
57: 315,585,222,369
58: 1021,946,710,1124
59: 1030,179
60: 863,643,625
61: 751,733,301,818
62: 119,984,1009,780,384
63: 881,363
64: 275,80
65: 963,340,611
1085: 1140,367
67: 159,5,1007,634,441,309
68: 594,962,186,43,23
69: 580,994,38
70: 1019
71: 1026,726,203
72: 1031,206,743
73: 223,212,115
74: 121,957,401,288,673,1045
75: 708,918,1139,872,1116,1100
76: 837,1005,670,867,0
77: 1038,1124
78: 813,394,85
1134: 637
80: 46,466,64,429
81: 622,55,1008,222
1136: 221,360,30,863,643,1067
83: 1049,501,1005,868
84: 619,802,266
85: 591,858,78
1137: 6,855,806
87: 257,743,477,982,944
88: 980,320,657
89: 1117,702
90: 733,162,110,238
91: 269,996,46,1036
92: 507,559
93: 889,700
94: 262,362,622,854
95: 958,953,1010
96: 951,390
1099: 982,310
1064: 396
99: 1132,986,158
100: 593,183,267,241
101: 856,610,268,1044
102: 725,575,168
103: 
104: 1127
105: 760,327,578,1141
106: 677,736,879
107: 338,360,1082,534
108: 161
109: 151,1075
110: 238,90,162
111: 793,947,955
112: 334,1054
113: 779,286,43,551,350,962
114: 330,973,245,538,574
115: 73
116: 744,326,339,970,381
117: 4,330,574
118: 799,321
119: 62,384
120: 405,999,1093
121: 407,74,853,638,673
122: 415,968,1040,420
123: 842,848,46,996
124: 1047,483,50
125: 987,230,485,478
126: 900,536,1032,142
127: 133,218,1057
128: 374,954,877,856
129: 328,959
130: 747,497,450
131: 1131,757
132: 227,586,522
133: 127,899,139
1125: 644,562,924,1086
135: 827,642
1098: 1130,246,215,767
137: 437,438,540,175,782
138: 821,904,619,266,838
139: 730,1029,133,899,510
140: 556,592,1013,482
1060: 335,741,1077,508
142: 245,126,538
1093: 999,120,1071
144: 1002,1128,388,147,1014
145: 977,942,711,964,460
146: 195,596,646
147: 1002,1128,144
148: 339
1038: 77,472,444
150: 282,8
151: 109,897,558,835
1086: 511,910,180,1125,924
153: 876,567,946
154: 969,355,533
155: 503
156: 1068,17
157: 755,15,475
158: 606,1088,1132,99
159: 67,5,586,522
160: 659,1047
161: 108,528
162: 733,90,110,751
163: 563,189,869,882
164: 1112,823,965,887,422
165: 259,297,546,659,483
166: 
167: 1048
168: 1061,1018,102
169: 349,527
170: 987
1107: 1069
172: 772,549,1055,428,517
173: 893,938,313,34,825,1024
174: 40,399,281
175: 782,242,1017,137,781
1096: 333
177: 615,1079,1048
178: 332
179: 738,1030,426,59
180: 599,511,1086
181: 620,597
1081: 878,332
183: 593,100,231,267
1089: 
185: 
186: 1079,23,476,68
187: 363,219,881,327
1100: 872,75
189: 163,305,869
190: 272,457,412,596
191: 425,693,859
192: 296,1115,608
193: 992,1014,502
194: 983,956,569,29,648
195: 146,596,481,862
1048: 167,177
1059: 568
198: 427,298,600
199: 966,403,614
200: 691,1020,929,1129
201: 776,754,25,658
1078: 524,404,725,1092,498
203: 71,1026
204: 486,885
205: 371,717,445
206: 288,1031,72
207: 1072,1103,579
208: 637
209: 
210: 224,931,225,605
211: 709,905,701,713
212: 73,223,270
213: 677,16,256
214: 423,599,1006
215: 8,926,767,1098
216: 901,491,11,952,1138
217: 932,1028,664
218: 127,1057
219: 363,1011,187,327
220: 948
221: 360,49,1136,643,688
222: 585,57,81,55
223: 73,212,336
224: 607,931,210,232
225: 601,33,1042,931,210,493
226: 672
227: 132,632,522
228: 488,316,553,807,656
229: 513,888,789,712
230: 125,485,535
231: 355,50,593,183
232: 25,769,224,931
233: 975,418,35
234: 689,1007,516,759
235: 748,1003,1119,359,889
236: 674,870,7,676
1061: 790,168,1018,739,1021
238: 523,110,90
239: 749
240: 1122
241: 718,267,100,894
242: 175
243: 440,1066,755,1112
244: 
245: 675,900,142,973,114,538
246: 1130,1098,1131
247: 271,953,394,1126
248: 357,473
249: 758,454
250: 358,1120,820,645
1083: 649,259,297,795
1035: 912,978
253: 817,33
254: 
255: 774,322,19,1139,1116
256: 879,382,677,213
257: 1097,87,743,395
258: 40,917,384
259: 297,165,483,1083
260: 393,847
261: 847,1012
262: 94,362
1143: 651,1114,760,665
264: 711,460
1114: 1143,665,635,1103
266: 802,84,619,138,838
267: 718,241,100,183
268: 7,1044,101
269: 996,91,1036
270: 212,396
271: 247,1129,953,1010
272: 190,457,831,308,949,412
1101: 498,479,689
1131: 131,246
275: 429,623,64
276: 1016,56
277: 680,1033,449,683
1102: 766,1069
1126: 813,394,247,953,560
280: 631,778
281: 898,294,399,174
282: 695,150,311
283: 341,554,797,715,949
284: 
1119: 359,235,748
286: 113,779,962,957,401
287: 489,391,526,446
288: 944,206,74,401,1045,1031
289: 330,973,682,4
290: 
291: 818
292: 849,819,31,427,298
1052: 1109,1015,1073,843
294: 281,898,399,1047
295: 47
296: 192,1115,829,608
297: 259,795,165,616,1083
298: 1001,292,427,198
299: 51,1135,621
300: 1140,1062,991
301: 61,818
1139: 708,75,1116,1002,1128,255,19
303: 337,740,985,639
304: 928,951
305: 869,189,17
306: 922,9
307: 52,1106
308: 949,412,32,272
309: 1030,67,441
310: 935,1099,395
311: 479,1092,282,695
312: 418,1111,815
313: 905,173,938,34
314: 
315: 585,57,995
316: 488,228,553
1049: 83,722,873
318: 459,35
1070: 403,14,810
320: 373,657,88
321: 1053,118
322: 255,894,718,353
323: 917,780,370,347,486
324: 698,358,687,566
1028: 424,217,664
326: 744,116,970
327: 105,219,187
328: 129,653,959,476
329: 368,1044,1027,938
330: 289,973,114,574,117,4
331: 642,727
332: 178,1081
333: 1096,783
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 303,740,639,1132
338: 107,534
339: 927,148,116,381
340: 65,963,611
341: 283,797,949
1024: 825,173,893,34
1037: 537,1040,801
1103: 207,1072,1114,940,635
345: 372
346: 559,961,922
347: 447,323
348: 948,377,24,942
349: 169,527,535
350: 551,113,779,565
351: 581,550
352: 1019
353: 742,322
1063: 
355: 231,154
356: 367
357: 248,473,730,1029,866
358: 250,1120,687,324
359: 1119,235
360: 221,49,1136,1067,107,1082
361: 671,1001,1019
362: 94,262,622,1008,18,509
363: 219,1011,187,881,63,812
364: 52
365: 923
366: 37,753,903
367: 356,1085
368: 329,893,938
369: 516,993,57
370: 875,486,323
371: 205,531,1,980
372: 345,405
373: 320,44
374: 954,128,877,452,587,600
1128: 1002,388,144,1139,147,19
376: 491,519,1144
377: 348,948,977,942,939
378: 
1116: 894,75,1139,255
380: 1117,397
381: 116,339,970
382: 256,495
1077: 1060,741,508
384: 917,119,62,258
1074: 775
