1147: 731,203
1: 531,701,88,980,371
2: 990,583,439
3: 975,1006,1111
4: 117,1152
5: 525,586,67
6: 1137,1171
7: 627,610
8: 746,632,695,1041,282
9: 1164
10: 864,26,1008,995
11: 216,29,491,1144,194,983
12: 548,554
13: 783
14: 403,1070,810
15: 931,157,960,475
16: 786,213
17: 1145,305,156
18: 506,509
19: 388,1128,1139,774,255
20: 664,777,850
21: 930,801,810,1070
22: 859,644,1097,425
23: 476,328,68,594
24: 348
25: 232,1024,931
26: 864,10,472,444,315,995
27: 878,502
28: 974,816,719
29: 569,277,1144,194,11
30: 863,1067,1136
1175: 941,420,122
32: 722,668
33: 253,769,817
34: 905,713
35: 589
1162: 674,644,562
37: 903,366,462,572,548
38: 81,634
39: 820,686,467,842
40: 174,917,258,62,384
41: 434,595
1082: 1084,1146,360,49,107
43: 551,615,962
44: 373,657
45: 499,568
46: 123,80
47: 295
1043: 885,294,1047,399
49: 221,688,1082,890
50: 898,1047,593,231,183
51: 828,764
52: 1133,364,1106,307
1068: 156,528
54: 855,806
55: 585
56: 1016,276
57: 585,222,369,315,81
58: 946,1021,567
59: 179,783
60: 863,643,625,505,762
61: 751,733,301,818
62: 119,1009,917,40,384
63: 1057,881,363
1011: 324,566
65: 963,410,611
1085: 367,557,1159
67: 159,586,5
68: 186,23,328,1044,1079,594
69: 994,580
1163: 167,1038,177,186
71: 703,726
72: 870,1097,743
73: 223,212,115
74: 669,407,673
75: 124,100,894,1032
76: 837
77: 1124
78: 1158,394,247
1134: 637
80: 466,46,1169
81: 38,369,57,222
1136: 221,360,30,863,643,1067
83: 868,501
84: 619,802,437,266
85: 394
1137: 6,855,645,806
87: 257,743,477,982,944
88: 352,1,980
89: 291,482,386
90: 733,162,110
1014: 941,416,126
92: 507,559
93: 889,700
94: 262,362,622,854,580
1170: 280,778,631
96: 951,304,390
1099: 310,230,982
1064: 396,349
99: 1132,913
100: 593,1083,75,124,1032
101: 627,288
102: 575,168,725
103: 
104: 1127,426
105: 327,578,465,1141
106: 838,736,570
107: 338,360,1082,1146
108: 161
109: 1075,848
110: 238,90,162
111: 793,947,955
112: 1003
113: 350,957,779
114: 973,245,538
115: 73
116: 744,326,339,970,381
117: 4,574
118: 799,1053,321
119: 62,590,1009,948
120: 1093,999
121: 669,853
122: 420,1175
123: 848,996,46
124: 75,1083,100
125: 987,485,478,1031
126: 900,1014,142
127: 133,218,1057
128: 374,954,877,856
129: 959,629,552,974
130: 747,497,450,287,391
131: 246
132: 525,586,311,227,522
133: 127,899,139,510
1125: 924,562,1086
135: 827,203,642
1098: 1130,746,767,215,246
137: 782,438,175
138: 904,736,619,266,838
139: 133,899,730,510
140: 592,386,482
1060: 335,741,1077,508
142: 245,126,538
1093: 120,999,170,1071
144: 147,1128
145: 977,942,711,460
1169: 429,275,80
147: 1128,144
148: 339,927,1013
1038: 167,1163,290,186,328
1155: 645,250
151: 558,835,897
1086: 910,180,511,924,1125
153: 946,1021,876,739
154: 969,641,355,667,533
155: 530,503
156: 1068,528,17,1145
157: 15,475,823,1028,755
158: 
159: 67,309,586,441,522
160: 659,1157,204,885
161: 108,1160
162: 733,90,110,751
163: 563,189,882,869
164: 823,1028,607,422
165: 546,483,259,297
1153: 940,665,465
167: 1163,1038,290
168: 822,1061,102
169: 349,527
170: 551,1093,1071
1107: 1069
172: 772,549,1055,428,1167
173: 825,893
174: 40,399
175: 781,776,137,242
1096: 333,555
177: 615,1163,186,1079
178: 332
179: 59,783,426
180: 599,511,859,1086
181: 620,597
1081: 878,332
183: 231,50,593
1089: 
185: 530
186: 328,68,1163,1038,177,1079
187: 219,327
1154: 666,575,725,524
189: 163,1145,305,869
190: 457,1022,272,412,1049
191: 693,423,425,859
192: 1115,296,608,1004
193: 992,502
194: 983,956,29,277,449,1033,11
195: 596,1034
1048: 527,230,535
1059: 568,1173,555
198: 298,413,1023
199: 1040,868,966
200: 1138,1010,691,1129
201: 879,570,1024
1078: 524,404,1113
203: 731,1147,642,135
204: 160,885
205: 371,445,717
1016: 56,703
207: 1103,1161,940
208: 637
209: 520
210: 607,225,424,605
211: 709,512,905,701,713
212: 73,223,270,336
213: 16,786
214: 815,835,423,1111,599
215: 767,926,1007,1098,746
216: 11,691,491,983
217: 932,402,664
218: 1164,127,1057,306
219: 187,327
220: 1037,948,377
221: 360,49,1136,688,643
222: 57,585,81
223: 73,212,336
224: 607,232,823
225: 601,210,493,424
226: 497,672
227: 1030,282,132,311,522
228: 316,807,656
229: 676,937,368,513,789,1017,888
230: 527,1048,485,1099
231: 667,183,50,898,355
232: 25,658,224
1168: 702,380
234: 689,516,759
235: 748,1119,359
236: 676
1061: 739,168,790
238: 110
239: 749
240: 1122,451,689
241: 718,1032,894
242: 175,776,253
243: 440,755,1028,1066,1112
1150: 345
245: 675,142,114,973,538
246: 1131,1130,1098,131
247: 858,394,727,78
248: 357,473,821
249: 454,269
250: 645,1155,467,1120
1083: 259,649,124,100
1035: 587,374,413,600,320
253: 33,242,776,817
254: 489
255: 774,1139,19
256: 786
257: 1097,87,743,395
258: 40
259: 297,1083,649,165,483
260: 1172,847
261: 
262: 94,362
1143: 651,665
264: 717,980
1114: 
266: 802,84,619,138,838
267: 718,322
268: 329
269: 249
270: 212,396
271: 691,1010,331
272: 1022,308,949,412,190
1101: 498,479,689
1131: 246,1130
275: 429,1169,1012
276: 56
277: 569,29,449,194
1102: 970,766,1149,1069
1126: 1158,630,560
280: 1170,778,631
281: 399,898,294,641,355
282: 227,1030,1018,8,632
283: 554,797,341
284: 933
1119: 359,235,748
286: 779,957
287: 489,526,130,391,446
288: 401,101
289: 330
290: 803,167,1038
291: 818,1117,89
292: 849,819,1008,1019
1052: 1109,1073,843
294: 898,1047,1043,281,399
295: 47
296: 1115,192,556,829,608
297: 259,649,165,616,795
298: 198,413,600,452,1019
299: 
300: 1140,1062,991
301: 61,818
1139: 19,255
303: 740,1165,985,1148
304: 928,951,706,96
305: 17,1145,189,869
306: 881,218,1164
307: 986,52,1106
308: 341,949,272,412
309: 159,441
310: 935,1099,982,395
311: 132,1018,1092,227
312: 815,459
313: 905
314: 
315: 444,993,26,57,585,995
316: 228,807,1037,553
1049: 412,1151,190,550
318: 
1070: 403,14,21,930,810
320: 1023,413,1035,512
321: 567,118,1053,946
322: 267
323: 486,780,370,347
324: 698,687,1036,1011
1028: 823,164,157,755,243,1112
326: 744,116,970
327: 105,187,219
328: 186,476,23,68,1038
329: 368,268
330: 1152,289
331: 271
332: 178,1081
333: 1096,748
334: 805,1003,1054
335: 1060,741,734
336: 223,212
337: 1165,1148,1132
338: 107,1146
339: 927,148,116,381
340: 963,1056,409,611
341: 308,949,283
1024: 201,25,931
1037: 220,316,684
1103: 207,940,635
345: 1150,372
346: 559,578,1174,961
347: 447,984,323,780
348: 948,377,24,942
349: 169,1064,535
350: 478,1031,113,565
351: 556,1151,550,829,990
352: 88,709
353: 742,773,1039
1151: 1049,550,351,581
355: 154,641,898,281,667,231
356: 367
357: 248,473,866
358: 1036
359: 1119,235
360: 221,1136,1067,107,1082
361: 671,745
362: 94,262
363: 681,63
364: 52,1106
365: 923,971,469
366: 37,903,753
367: 1085,356
368: 329,676,229,789
369: 516,993,81,57
370: 875,323
371: 205,531,1,980,699
372: 345
373: 44
374: 128,877,452,600,1035,587
1128: 388,19,147,144
376: 428,519,952,1144
377: 348,948,942,220,939
1160: 397,161,528
1116: 894
380: 397,1168,528
381: 116,339,970
1164: 218,9,306
1077: 1060,741,508
384: 62,40
1074: 775
