1147: 203
320: 373,352,88,657,1023
321: 567,118,1053
322: 353,1014,718,1032
323: 917,780,370,347,486
324: 358,687,566
1028: 832,777,887,422,604
326: 744,116,970
327: 105,760,187,219
328: 129,653,476,959
329: 368,1027
330: 289,973,114,1039,117,4,574
331: 642,727,691
332: 178,1081
333: 1096,748
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 740,1148,1132
338: 107,534,1146
339: 927,148,116,381
340: 65,963,611
341: 283,949,797
1024: 437,137,781,175
1037: 419,656,228,807,553
1103: 207,1114,940,635
345: 372
346: 559,922
347: 447,323,780
348: 948,377,24,942
349: 169,527,535
350: 551,113,779,565
351: 556,581,550,990
352: 88,320
353: 742,322
1151: 308,412,32,668
355: 231,898,154
356: 1041,367
357: 248,473,866
358: 1120,1155,687,324
359: 1119,235
360: 221,49,1136,1067,1082
361: 671,745
362: 94,262,1008,18,509
363: 681,63
364: 52,1106
365: 971,923
366: 753,37,903
367: 356,1041,1085
368: 329,893,789
369: 516,993,57
370: 875,486,323
371: 205,531,1,980,699
372: 345,405
373: 320,44,1019
374: 128,877,452,600,587
1128: 388,19,147,144
376: 519,1144,952,491
377: 348,948,942,939
378: 1116,75
1116: 894,378,255,1002,1014,75
380: 1117,397
381: 116,339,970
382: 256,15,495
1077: 1060,741,508
384: 917,119,62
1074: 775
386: 702,1013,592,89
1033: 648,683,449,194,956
388: 1128,19,774
1066: 440,243,923
390: 704,96
391: 572,446,130,287
392: 554,1022,402,932,715
393: 1012
394: 858,247,78,1158,85
395: 425,310,935,257
396: 1064,270
397: 380
398: 730
399: 885,174,281,294
400: 862,1135,1034,146,299
401: 74,1031,288
402: 932,392,715
403: 14,1070,614,199
404: 1113,824,524,695,1078
405: 999,120,1048,372
1075: 109,848
407: 74,851,594,957,1045
1110: 1104
409: 1056,703
410: 729,963
411: 561,750,925
412: 308,1151,272,190
413: 587,198,600,512
1032: 718,267,667,322
415: 533,969
416: 941,420,417
417: 420,533,667,416
418: 975,1111,312,233,35,459,1006
419: 1037,656
420: 417,533,122,941,416
421: 469,965,914,604
422: 887,164,823,607,605,1028
423: 3,815,214
424: 493,225,210,605
425: 395,191,859,22
426: 104,1127,1043,875
427: 452,298
428: 549,172,952,517
429: 275,80,466
430: 826,947
431: 537,921,930
1084: 1082,1146,918
1030: 59,309,441
434: 41,584,700
1135: 400,621,683,299
436: 595,796,791
437: 802,1024,781
438: 720,782
439: 2,729
440: 1066,243,475,934,755
441: 480,13,59,309,1030
442: 737
443: 1104,814,620
444: 993,315,26,472
445: 205,699,1017
446: 572,391,287,1005
447: 875,738,347
448: 812,598,681
449: 277,569,29,1033,194
450: 947,747,130
451: 1124,1122,490
452: 427,374,954,600
453: 889
454: 687,936,1120,1036,269,249
455: 729
456: 
457: 190,831,272,596
458: 624
459: 1006,418,312
460: 145,964
461: 794,841
462: 1022,37,903,548
463: 547,704,925
1067: 30,360,1136
465: 1141,105,760,665,1153
466: 80,429,899
467: 39,820
1079: 43,615,177,186,68
469: 421,965,971
470: 793,654
1130: 1098,246,8
472: 864,26,798,444
473: 357,248,912
474: 633,501,868
475: 960,15,157,755,440
476: 186,328,959,23
477: 982,565,779,944,87
478: 485,987,125
479: 1092,1018,498,1101,525
480: 13,441,1003
481: 967,195,862
482: 140
483: 1157,659,259,165
484: 663
485: 478,125,230
486: 204,370,323
1017: 699,720,445,782
488: 807
489: 287,254,526
490: 1122,790,1124,451
491: 952,1020,376,29,1144,11
1091: 576
493: 424,225,601
1087: 1090,897,1012
495: 960,382
1069: 766,1102,1107
497: 747,130,672
498: 1101,479,1018
499: 45
500: 746,1140,991,1113,150
501: 633,474,837,868,83
502: 193,27
503: 155,530
1112: 971,243,164,823
505: 616,795,643,762,688
506: 18,1019,509,44
507: 961,920,559,92
508: 521,1060,1077
509: 18,506,362,44
510: 788,139,730
511: 1086,972,180
512: 709,413
513: 978,937,229
514: 
1158: 1010,1126,78,1016,394
516: 369,234,759
517: 428,172,952
518: 788
519: 376,569,1144
520: 209
521: 508
522: 227,132,586,632,159
523: 1040
524: 1154,824,404
525: 586,479,5
526: 867,287,489
527: 535,169,349
528: 161,1068
529: 
530: 155,503
531: 701,1,713,371,699
1115: 296,732,1013,192,663
533: 420,417,415,969,154
534: 1146,338
535: 527,230,349
536: 742
537: 801,431
538: 245,142,114,1039
1047: 593,100,1083,124,241
540: 825,720
1023: 264,320,88,657,711
542: 873
1092: 311,479,1078,1018,695
544: 
545: 106,736,1029
546: 659,165
547: 463,925,772,750
548: 12,1005,572,37,462
549: 772,172,428
550: 351,990
551: 350,43,615,113
552: 28,974,1053
553: 684,228,316,1037,656
554: 392,12,797,283
555: 757,1003,1096
556: 351,829,296
557: 
558: 151
559: 346,578,507,92
560: 630,1000,1010,1126
561: 411,750,1055
562: 1125,644,674
563: 163,732,663,882
1133: 52,740
565: 982,477,350,779
566: 687,324
567: 1021,321,946,1053
568: 1059,45
569: 29,1144,914,519,449
570: 201,776
1117: 89,702,380
572: 391,446,37,548
573: 902,654
574: 330,1039,117
575: 1154,725,102
576: 1091
1140: 1085,300,991,746,500
578: 559,105,1141
579: 1156,207,1072,989
580: 854,69,622
581: 668,351
1036: 269,249,1120,454,936
583: 646,2
584: 1095,613,700,434
585: 57,222,315,995,55
586: 525,132,522,5,159,67
587: 413,374,877,600
1124: 451,490,77
589: 734,741
590: 262
591: 1016,813
592: 140,386,1013
593: 100,1047,50,231,183
594: 962,68,957,851,23,407
595: 436,791,41
596: 195,457
597: 814,620,181
598: 681,448
599: 180,214
600: 198,452,374,413,587
601: 225,493
602: 737,771,603
603: 602,771
604: 914,884,887,965,832,1028,421
605: 210,607,424,422
606: 1073,1088,158
607: 224,605,823,422
608: 192,829,761,296
609: 
610: 856
611: 65,340
612: 712,678,904
613: 1095,584,700
614: 403,14,199
615: 43,1079,177,551
616: 505,795,1095,297
1055: 772,172,561,750
618: 
619: 84,678,138,904,266
620: 181,443,814,597
621: 648,683,1135,299,764
622: 854,580,94
623: 912,910,972,275
624: 458,822
625: 863,60
1046: 
627: 101,870,7
628: 656
629: 653,909
630: 560,1126,813
631: 280,981
632: 227,522,1131
633: 474,501,837
634: 759,38
635: 1114,1103
1025: 832,884,680,277
637: 208,1134
638: 669,1001,673,1044
639: 1109,1148,1088
640: 966
641: 969,807
642: 331,727,827,731,135
643: 60,505,221,688
644: 22,674,562
645: 250
646: 583,146
1021: 567,28,1053,719
648: 621,683,1033,194,956
649: 1083,75,795,259,762,872
650: 749
651: 1143
652: 805
653: 629,328
654: 793,470,902,573
1045: 121,669,853,959,851,407
656: 1037,419,228,553,628
657: 711,1009,320,1023
658: 25,232,769,201
659: 160,546,165,483
1145: 17,305,156
1031: 401,957,286
662: 1108
663: 484,732,1115,563
664: 20,217
665: 940,1153,760,465,1143,1114
666: 1154,824
667: 267,1032,417
668: 32,1151,581
669: 121,1045,1001,638
670: 921,867,837,76
671: 745,361
672: 747,497,826,226
673: 1044,74,638
674: 1035,870,644,562
675: 900,245,773,682,973
676: 937,236
677: 786,1029
678: 888,612,712,619,904
1111: 975,418,312,3,815
680: 277,1025
681: 363,598,448,812
682: 773,675,289,973
683: 648,621,1033,1135
684: 553
1132: 99,986,158,337
686: 842,848,39
687: 566,454,358,1120,324
688: 762,890,643,505,221,49
689: 234,1101,240
1029: 786,16,677,545
691: 1138,200,331,727
692: 886
693: 191,935
1104: 443,1110
695: 282,1113,404,311,1092,1078
1121: 796,791
697: 921
698: 
699: 720,1017,531,371,445
700: 584,613,434,93
701: 531,1,211,709,713
702: 386,1117,89
703: 71,726,409
704: 390,463
1026: 764,51
706: 928
1022: 392,462,903,932
1144: 569,29,519,376,491
709: 211,512,701
710: 77,58
711: 657,1009,1023,145
712: 612,888,229,678
713: 34,211,905,531,701
714: 
715: 831,392,402,283
716: 775
717: 264,205
718: 241,267,1032,894,1014,322
719: 933,1021,28
720: 699,1017,540,438
721: 929,945
722: 32,1049
1129: 929,200,271
1157: 483,259
725: 1154,575,102
726: 1056,703,71
727: 331,642,691,731
1142: 796,907,886
729: 455,410,761,439
730: 398,139,510
731: 203,642,727
732: 1013,1115,563,663
733: 90,162,751,61
734: 589,335
735: 744,927
736: 106,545,821,874
737: 602,442
738: 1043,875,447
739: 822,1061
740: 303,337,985,1133
741: 335,1060,1077,589
742: 353,536
743: 1097,257,87,944,72
744: 116,326,735
745: 671,1019,361
746: 215,500,1140
747: 130,497,672,450,947
748: 235,333,1119
749: 650,239
750: 411,561,547,925,772,1055
751: 61,733,162
1097: 257,743,72,22
753: 366
754: 25,931
755: 157,224,475,440,243
756: 844
757: 555,131,1007
758: 922,1011,249,961
759: 234,516,634
760: 105,327,465,1143,665
761: 829,608,729
762: 688,890,872,505,795,649
1088: 1073,606,1109,639,1148,158
764: 51,1026,621,299
1095: 584,613,616
766: 1149,1102,1069
767: 926,215,1098
1108: 1105,662
769: 232,658
770: 
771: 602,603
772: 549,172,1055,547,750
773: 675,682
774: 255,388,19
775: 716,1074
776: 570,201
777: 832,850,1028,20
778: 280,794,841
779: 113,350,286,565,477
780: 917,323,347,984,62
781: 175,437,1024
782: 137,1017,438
783: 13,59,179
1120: 250,358,820,1036,687,454
1027: 313,329,938
786: 16,1029,677,256,213
787: 
788: 510,518
789: 888,229,368,893
790: 1061,490
791: 796,1121,436,595
1019: 745,506,373,44
793: 654,470,111,955
794: 461,989,841,778
795: 505,616,297,762,649
796: 791,1142,1121,436
797: 12,554,283,341
798: 864,472,819
799: 909,118
1034: 195,862,400,146
801: 21,930,537
802: 437,84,266
803: 843
1041: 356,367,1085,300
805: 652,334
