1147: 731,203
1: 531,701,88,980,371
2: 990,550,583,439
3: 1006
4: 117,1152
5: 525,586,67
6: 1137,1171
7: 627,610
8: 695,282,746,632,1030
9: 1164
10: 864,26,995
11: 216,29,491,1144,194,983
12: 548,554
13: 783
14: 403,1070,810,1040
15: 931,157,1024,960,475
16: 786,213
17: 1145,305,156
18: 506,509
19: 388,1128,1139,774,255
20: 664,777,850
21: 930,801,810,1070
22: 859,644,1097,425
23: 68,328,476,594
24: 348
25: 232,931
26: 864,10,472,444,315,995
27: 878,502
28: 974,719,816
29: 569,277,1144,194,11
30: 863,1067,1136
1175: 941,1014,420,122
32: 722,668
33: 253,769,817
34: 905,713
35: 589
1162: 674,644,562
37: 903,366,462,572,548
38: 81,634
39: 820,686,467,842
40: 174,917,258,1009,384,62
41: 434,595
1082: 1084,1146,49,360,107
43: 551,615,962
44: 373,657
45: 499,568
46: 123,80
47: 295
1043: 885,1047,294,399
49: 1084,1082,688,918,890
50: 898,593,231,183
51: 828,764
52: 1133,364,1106,307
1068: 156,528
54: 855,806
55: 585
56: 276
57: 585,222,369,315,81
58: 567,946,1021
59: 179,783
60: 863,643,625,505,762
61: 751,733,301,818
62: 384,1009,119,40
63: 1057,881,363
1011: 
65: 963,410,611
1085: 367,557,1159
67: 159,586,5
68: 328,23,1038,186,1044,594
69: 994,580
1163: 167,1038,186,177
71: 703,726
72: 870,1097,743
73: 223,212,115
74: 669,407,673
75: 124,894,1032
76: 837
77: 1124,1001
78: 1158,247,394
1134: 637
80: 466,46,1169
81: 38,369,57,222
1136: 221,360,30,863,643,1067
83: 868,501
84: 619,802,437,266
85: 394
1137: 6,855,645,806
87: 257,743,477,982,944
88: 352,1,980
89: 291,482,386
90: 733,162,1013,110
1014: 941,1175,420,416
92: 507,559
93: 889,700,546
94: 262,362,622,854,580
1170: 280,778,631
96: 304,951,390
1099: 310,230,982
1064: 396,349
99: 1132,913
100: 593,1083,124
101: 627,288
102: 575,168,725
103: 
104: 1127,426
105: 327,578,465,1141
106: 838,570,736
107: 338,360,1082,1146
