1147: 203,1026
1: 531,701,980,371
2: 439,583
3: 1111,423,815
4: 117,289,330
5: 525,586,159,67
6: 1137
7: 268,627,870,236
8: 215,150,1130
9: 758,306,922
10: 864,26,849,995
11: 491,29,1144,983,901,216
12: 548,554,797
13: 441,480
14: 403,1070,810,614
15: 475,157
16: 786,213
17: 1145,305
18: 506,362,509
19: 774,255,1002,1139,388,1014
20: 777,424,1028,871,850
21: 930,801,810
22: 859,1097,425
23: 959,851,476,186,594,68
24: 1009,348,942
25: 232,658,769,201,754
26: 864,10,472,444,995
27: 878,502
28: 974,552,1053,719
29: 569,1144,11,194,983
30: 863,1067,1136
31: 427,819,292
32: 722,308,668
33: 817,253
34: 713,825,905,313,173
35: 459,318,233,418
36: 
37: 462,366,548
38: 69,81,634,1030,994
39: 686,467
40: 174,258
41: 434,595
1082: 1084,1146,360,49,107
43: 615,1079,551,962,68,113
44: 373
45: 568,499,1046
46: 123,80,91
47: 295
1043: 738,994,426,179
49: 221,688,890,1084,1082,918
50: 898,1047,124,593,231
51: 764,299
52: 1133,364,1106,307
1068: 156,528
54: 1012,855,806
55: 1008,585,222
56: 276
57: 585,222,369,315
58: 710,946,567,1021,77
59: 179
60: 863,643,625
61: 751,733,301,818
62: 119,984,780,384
63: 1057,363
64: 275,80
65: 963,340,611
1085: 1140,367
67: 159,5,1007,309
68: 594,962,186,43,23
69: 38,81,994,1008,580
70: 1019
71: 703,726,1026
72: 1031,1097,743
73: 223,212,115
74: 1045,407,401,957,121
75: 918,1002,890,872,1116,1100,1139
76: 837,670,867,1005
77: 710,58,1124
78: 591,394,813,1126,85
1134: 637
80: 466,91,64,46,429
81: 69,38,222,1008
1136: 221,360,30,863,643,1067
83: 1049,501,868
84: 619,802,266
85: 1016,858,394,78,591
1137: 6,855,806
87: 257,743,477,982,944
88: 980,320,657
89: 1117,702
90: 733,162,110,238
91: 80,46,996,1036
92: 507,559
93: 889,700
94: 262,362,622,854
95: 560,1010,958
96: 951,390
1099: 982,310
1064: 396
99: 1132,986,158
100: 593,183,267,241
101: 627,1044
102: 725,1018,575,168
103: 523
104: 1127
105: 760,327,578,1141
106: 736,879
107: 338,1067,1082,1146
108: 161
109: 151,1075
110: 238,90,162
111: 793,947,955
112: 334,1054
113: 779,286,43,551,350,962
114: 330,973,245,538,574
115: 73
116: 744,326,339,970,381
117: 4,330,574
118: 799,321
119: 62,384
120: 405,999,1093
121: 853,669,1045,407,74,638
122: 415,1037,420,1040
123: 842,848,46,996
124: 1047,50,593
125: 987,230,485,478
126: 900,536,142
127: 133,218,1057
128: 374,954,877,856
129: 328,959
130: 747,497,450
131: 1131,757
132: 227,586,522
133: 127,899,139
1125: 644,562,1035,1086,924
135: 203,827,642
1098: 1130,246,215,767
137: 437,438,782,540,175
138: 821,904,619,266,838
139: 1029,133,899,730,510
140: 1013,592,482
1060: 335,741,1077,508
142: 245,126,538
1093: 999,120,1071
144: 147,1128
145: 977,942,711,964,460
146: 195,596,1034,646
147: 1128,144
148: 339
1038: 710,933,798
150: 282,8
151: 109,835,897,558
1086: 511,924,180,1125
153: 946,876
154: 969,355,533
155: 503,530
156: 1068,1145
157: 755,224,15,475
158: 1132,99,606,1088
159: 67,586,5,522
160: 659
161: 108,528
162: 733,90,110,751
163: 563,189,869,882
164: 1112,823,965,887,422
165: 259,297,546,659,483
166: 
167: 1048
168: 822,102,1061
169: 349,527
170: 987
1107: 1069
172: 772,549,1055,428,517
173: 893,938,313,34
174: 40,399,281
175: 242,137,782
1096: 333
177: 615,1079
178: 332
179: 426,59,1043,738
180: 599,511,1086
181: 620,597
1081: 878,332
183: 593,100,231,267
1089: 
185: 
186: 1079,23,476,68
187: 219,1011,881,327
1100: 1116,872,75
189: 163,305,869
190: 272,457,412,1034
191: 425,693,859
192: 296,1115,608
193: 992,502
194: 983,956,569,29,648
195: 146,596,481,862
1048: 345,167
1059: 568
198: 298,413,600
199: 966,403,614
200: 1020,271,691,1129
201: 776,754,25,658
1078: 524,404,725,1018,1092,498
203: 135,1147,1026
204: 486,885
205: 371,445,717
206: 944,288,1031
207: 1072,1103,579
208: 637
209: 520
210: 607,1042,931,225,605
211: 709,905,701,713
212: 73,223,270
213: 16,256
214: 1006,423,599
215: 8,926,767,1098
216: 901,491,11,952,1138
217: 932,664
218: 127,1057,306
219: 187,1011,327
220: 948
221: 360,49,1136,643,688
222: 57,585,81,1008,55
223: 73,212,336
224: 157,232,607,931
225: 601,1042,210,493
226: 672
227: 132,632,522
228: 488,316,553,807,656
229: 888,789,513,712
230: 125,485,535
231: 355,50,593,183
232: 25,769,931,224
233: 975,418,35
234: 689,516,759
235: 1003,748,1119,359,889
236: 674,870,7,676
1061: 790,739,168
238: 1039,523,110,90
239: 749
240: 1122,451
241: 718,267,100,894
242: 175
243: 440,1066,755,1112
244: 
245: 675,900,142,973,114,538
246: 1130,1098,1131
247: 271,953,394
248: 357,473
249: 758,454
250: 358,1120,820,645
1083: 649,259,795
1035: 562,1125,924,978
253: 817,33
254: 
255: 774,19,1116,894,1139,322
256: 879,382,213
257: 1097,87,743,395
258: 40,917,384
259: 297,165,483,1083
260: 393,847,1012
261: 847
262: 94,362,590
1143: 651,1114,760,665
264: 711,460,717
1114: 1143,665,635,1103
266: 802,84,619,138,838
267: 718,241,100,183
268: 7,1044
269: 1036
270: 212,396
271: 247,200,1010,1129
272: 190,457,831,308,949,412
1101: 498,479,689
1131: 131,246
275: 429,64,623
276: 56
277: 680,449,884,1033,683
1102: 766,1069
1126: 813,560,953,394,630,78
280: 631,778
281: 898,294,399,174
282: 695,150,311
283: 341,797,554,715,949
284: 
1119: 359,235,748
286: 113,779,962,957,401
287: 489,391,526,446
288: 944,206,1031,401
289: 330,973,682,4
290: 
291: 818
292: 849,819,1001,31,427,298
1052: 1015,1109,1073,843
294: 281,898,399
295: 47
296: 192,1115,829,608
297: 259,795,165,616
298: 198,292,1001,427
299: 51,1135,621
300: 1140,1062,991
301: 61,818
1139: 1116,75,1002,255,19
303: 337,740,985,639,1148
304: 928,951
305: 869,189,17,1145
306: 922,218,9
307: 52,1106,986
308: 949,412,32,272
309: 441,67,1007,1030
310: 935,1099,395
311: 479,1092,282,695
312: 418,1111,815
313: 905,173,938,34
314: 
315: 444,57,585,995
316: 228,553
1049: 83,722
318: 459,35
1070: 403,14,930,810
320: 373,657,88
321: 1053,118
322: 353,894,718,255
323: 917,780,370,347,486
324: 698,358,687,566
1028: 424,493,664,20
326: 744,116,970
327: 105,187,219
328: 129,653,959,476
329: 368,938
330: 289,973,114,574,117,4
331: 642,727,691
332: 178,1081
333: 783,1096,1003,748
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 303,740,1148,1132
338: 107,534,1146
339: 927,148,116,381
340: 65,963,611
341: 283,797,949
1024: 825,540,437,438
1037: 415,122,968,419,1040
1103: 207,1072,1114,940,635
345: 1048,372
346: 559,961,922
347: 370,447,323
348: 948,377,24,942
349: 169,527,535
