326: 744,116,970
327: 105,187,219
328: 653,290,1044
329: 368,236,268
330: 1152,1013
331: 216,901,271
332: 178,1081
333: 1096,748
334: 805,1054
335: 1060,741,734
336: 223,212
337: 1165,1132,1148,1021,99,1088
338: 107,1146,1002
339: 927,148,116,381
340: 963,611,1022,1056,409
341: 949,283
1024: 786,256,545,398
1037: 111,430,947,955
1103: 207,1161,1000,940,635,579
345: 1150,1163,372,1178
346: 559,578,1174
347: 447,984,780,323
348: 948,377,24,942
349: 1064,535
350: 113,779,565
351: 556,1151,581
352: 88,320,709
353: 742
1151: 581,351
355: 667,231,898,154
356: 367
357: 1029,912,473,248
358: 
359: 1119,235,93
360: 221,107,1082
1005: 921,697,867
362: 94,262
363: 681,63,881,812
364: 52,1106
365: 923,421,549,1025
366: 37,903,753
367: 557,1085,356
368: 329,236,676
369: 516,993,81,57
370: 875,323,204,486
371: 205,531,1,980,699
372: 1178,345
373: 44
374: 452,128,1008,877,587
1128: 388,19,1139,147,144
376: 428,469,517,952,1033
377: 348,948,942,220,939
1160: 397,161,528
1006: 312,459
380: 397,1168,528
381: 970,116,339
1164: 218,9,306
1077: 1060,741,508,318
384: 62,40,399,807
1074: 1015,775
386: 140,592,482,89
1033: 952,491,519,569,376,469,29
388: 1128,19,774
1066: 440,243,923,971
390: 704
391: 572,446,130,450,287
392: 932,402,715
393: 54
394: 858,247,1158,78,85
395: 425,935,310,257
396: 1064,535,270
397: 1160,380,528
398: 730,545,1024,786
399: 281,174,384,807
400: 621,1135
401: 288
402: 392,217,967,715
403: 14,1070,670
404: 991,1113,1062,824,524,1078
405: 
1075: 109,848
407: 669,851,74
1110: 
409: 1056,340,611,726
410: 455,65
411: 561,750,925
412: 308,272,190
413: 198
1032: 147,534,1084,918,1139
415: 122,533,419,969,420
416: 322,417
417: 416,667,1014
1002: 338,107
419: 656,969,415
420: 1014,533,122,415
421: 365,549,1025
422: 605,164,1034,777
423: 693,1111,191,599,214
424: 493,20,225,210,1034
425: 395,191,935,859,22
426: 104,1127,179
427: 284,121,1019
428: 376,469,1025,517,172,1010
429: 275,1169,466,1029,899
430: 826,1037
431: 537,921
1084: 1082,918,1146,534,1032
1030: 131,246,1130
434: 41,93,1047,584,700
1135: 621,400,680,683
436: 595,796,791
437: 1027,84
438: 825,720,137,782
439: 2,761,729
440: 755,243,934,1066
441: 522,159,309
442: 1039,737
443: 1104,814,620
444: 993,315,26,472
445: 205,699
446: 572,391,287
447: 347,738,875
448: 1042,812
449: 680,277,683
450: 947,747,130,391
451: 1122,240,490
452: 374,128,954,1008
453: 1009
454: 687
455: 729,410,608
456: 
457: 195
458: 624,876
459: 312,1006
460: 145,964
461: 794,841
462: 37,903,548
463: 925,704,547
1067: 891
465: 1141,105,665,1153
466: 80,429,1169,899
467: 806,250,39,820
1079: 962,615,186,43
469: 428,376,1025,519,1033
470: 793,654
1130: 1030,480
472: 864,26,444
473: 912,821,248,357
474: 199,633,670,501,868
475: 960,15,157,755
476: 1044,629,959,129
477: 779,565,982,944,87
478: 125,485
479: 689,234,5,1018,525
480: 1130
481: 596,967
482: 140,386,89
483: 546,165,659,259,1157
484: 663
485: 230,125,478
486: 204,370,323,917
1017: 678,1027,619,84
1165: 303,337,740,1132,1133,1021
489: 287,526,497,254
490: 790,451,1124
491: 952,1033,29,1138,11
1091: 
493: 424,20,225,601
1156: 1179
495: 928,934,960
1069: 1107,766,1102
497: 130,672,226,254,489
498: 1101
499: 1003,1134,45
500: 991,1113,1140,695
501: 837,633,474,83,868
502: 773,193,27
503: 155,530
1112: 887,243,971
505: 616,795,762,1095,60
506: 18,745
507: 920,961,559,92
508: 1060,1077
509: 18
510: 788,139,133,730
511: 180,1086
512: 211,1035,905,313
513: 888,937,229
1012: 924,562,1162
1158: 1126,78,394
516: 369,234,759
517: 172,1010,428,376,952
518: 598,16,788
519: 569,965,1028,469,1033
520: 300,1041,209
1179: 1161,1000,1156
522: 441,159
523: 538,1040
524: 725,1078,1154,824,404
525: 586,132,1092,1018,5,479
526: 287,489,867
527: 230,1099
528: 156,1068,1160,397,380
529: 757,1173,618
530: 666,155,503
531: 701,1,713,371,699
1115: 732,1049
533: 1043,154,969,420,1014,415
534: 1032,1146,1084
535: 396,349
1010: 772,517,172,428,1055,1167
537: 431,801,921
538: 523,245,142,114
1047: 434,93,889,700
540: 825,720
1023: 798,864
542: 873
1092: 1018,311,525,132
544: 1003
545: 874,398,1024
546: 165,483,659
547: 925,463,772,750
548: 12,572,37,462
549: 365,421,1025,772,172
550: 190,2,990
551: 170,987,43
552: 909,1053,629,1045,129
553: 684,316,656,628
554: 12,797,283
555: 1096,1173,1059
556: 351,592,581,1049
557: 367
558: 151
559: 346,578,961,507,92
560: 630,1126
561: 411,750,1055
562: 924,1012,644,1125,1086
563: 163,663,882
1133: 52,740,1165,1132
565: 982,350,779,477
566: 920
567: 1001,974,321,1045,58,946
568: 1059,45
569: 519,965,277,1033
570: 106,201
1117: 818,291
572: 391,446,37,548
573: 902,654
574: 117,1013
575: 1154,725,102
576: 
1140: 500,991
578: 346,559,92,105,1141
579: 635,1103,1000
580: 854,69,622,94
581: 1151,351,556
1036: 54,855,6
583: 
584: 1095,700,434
585: 57,222,315,995,55
586: 525,132,5,159,67
587: 374,877
1124: 490,77
589: 734,741,35
590: 119
591: 813
592: 140,386,556,1049
593: 100,183,1083,50
594: 851,23,68
595: 436,791,41
596: 481,831,195
597: 814,620,181
598: 518,681
599: 180,423,214
600: 1008,298
601: 225,493
602: 737,1166,771,603
603: 602,1166,771
604: 914,884,777
605: 210,607,164,1034,422
606: 1073,1088,913,158,99,799
607: 210,224,605,823,164
608: 829,761,729,455
1009: 160,104,453
610: 856,7
611: 65,963,340,409,1016
612: 904
613: 1095,700,165,616
1172: 260,847
615: 177,186,1079,43
616: 505,795,1095,613,297
1055: 561,750,772,1010,1167
618: 529,757,637
619: 802,266,84,1017,138
620: 181,814,443,597
621: 1135,400
622: 580,94
623: 924,910
624: 458,822
625: 692,60,863
1046: 
627: 101,870,7
628: 553,656
629: 909,552,653,476,1044,129
630: 560,1126,813
631: 280,1170,981
632: 1131
633: 670,837,501,474
634: 759,38
635: 579,1103,1000
1025: 428,469,365,421,549,172
637: 1134,618
638: 954,673
639: 1109,1148
640: 966
641: 228,281,1043,969
642: 731,203
643: 60,863,762
644: 859,22,1125,674,1162,562
645: 806,250,1155,1137
646: 963,1022
1021: 99,337,1165,1132,986
648: 764,956
649: 259,297,1083,795,124
650: 749
651: 1143
