0: 867,76
1: 531,701,980,371
2: 990,583
3: 1111,423,815
4: 117,289
5: 689,1038,586,67
6: 855,806
7: 1045,627,435,870
8: 215,150,1130
9: 758,306
10: 864,26,849,995
11: 376,491,29,983,901,216
12: 548,554,797
13: 441,480
14: 614,1070,810,1039
15: 475,157
16: 786,213
17: 156,305
18: 55,506,362
19: 1128,388,75,774,255
20: 832,777,1028,79,1033
21: 930,810
22: 859,1097,425
23: 959,851,186,476,594,68
24: 724,348
25: 232,658,201,754
26: 864,10
27: 878,502
28: 974,552,1053
29: 569,376,11,194,983
30: 1067,863,221
31: 819,292
32: 722,1005,308,1034
33: 769,253,493,225
34: 905,313,825
35: 459,318,233,418
36: 767,1098
37: 462,572,548
38: 57,759,634,222,1030,69
39: 686,467
40: 174
41: 1123,1046,434,595,436
1082: 1084,338,107,534
43: 615,551,68,113
44: 361,1019,745,352,373
45: 1118,595,568,499
46: 80,123,996,91
47: 144
1043: 82,347,94,984,62
49: 221,360,688
50: 483,124,294,898
51: 764,299,439,1004
52: 364,1106,307
1068: 156,528
54: 393,847,855,806,1012
55: 18,995,1008
56: 71
57: 759,38,369,585,222,1030
58: 946,1124,790,1018
59: 179
60: 863,643,625
61: 751,733,301,818
62: 119,984,1043,780
63: 881
64: 972,275,558,1006
65: 963,340,611
1085: 500,991,300
67: 309,5,1038,159
68: 594,962,186,43,23
69: 1030,38,861,994
70: 352,1001
71: 56
72: 743,206,627,870
73: 223,212,115
74: 121,401,673
75: 708,918,1116,19,1128
76: 722,1005,0
77: 490,1124
78: 813,394,85
79: 1028,1033,20
80: 46,91,133
81: 622,585,222,1030
82: 1043,94
83: 542,873,501,868
84: 888,619,1024,802,266
85: 591,858,394,78
86: 546,1003,453
87: 257,477,982,944
88: 980,320,657
89: 1117,702
90: 733,238,162
91: 269,996,80,46,466
92: 507,559
93: 889,359,1046,700,1003
94: 262,1043,82,347
95: 560,271,945,1129,958
96: 304,951
1099: 982,310
1064: 396
99: 1132,986,158
100: 593,183,267,241
101: 856,1045,792,268
102: 725,666,168
103: 523,1032,1039
104: 1127
105: 760,578,465
106: 677,736,879
107: 338,1067,360,1082
108: 161
109: 151,1075,558
110: 1013,162,523,238
111: 430,1023,793,955,573
112: 334,1054
113: 779,286,43,551,350,962
114: 574,538,330,973,245
115: 73
116: 744,326,339,970,381
117: 4,330
118: 799,321
119: 62,384
120: 405,999,1093
121: 407,957,74,638,673
122: 415,968,420
123: 842,848,46,996
124: 659,294,50,483
125: 987,230,485,478
126: 536,416
127: 139,133,218,466,1057
128: 374,954,877,856
129: 328,959
130: 747,497,450
131: 1131,757
132: 525,586,522,1007,227
133: 899,127,80,466
1125: 644,562,1031,1086,924
135: 827,642
1098: 1130,246,215,767,36
137: 437,438,540,782
138: 821,619,266,838
139: 899,127,510
140: 556,592,482
1060: 335,741,1077,508
142: 1032,416,314,538
1093: 999,120,1071
144: 47,992
145: 977,942,711,964,460
146: 195,1080,596,646,583
147: 534,1084,708,1002
148: 339
1038: 234,240,5,67,634
150: 282,8
151: 109,897,835,558
1086: 910,924,1031,1125
153: 876,1021,946
154: 969,355,533
155: 503,1041,530
156: 1068,17
157: 755,15,475
158: 606,1088,1132,99
159: 586,522,67
160: 659,453,204,1047
161: 108,528
162: 110,1013,733,90,751
163: 563,189,869,882
164: 1112,823,965,887,422
165: 659,546,259,483
166: 
167: 
168: 822,739,1061,102
169: 349,527
170: 987
1107: 1069
172: 772,549,1055,428,517
173: 368,313,893,825,487
174: 40,399,281
175: 242
1096: 333
177: 615
178: 332,1014
179: 738,426,59
180: 1031,214
181: 620,597
1081: 332,1014,878
183: 593,100,231,267
1089: 
185: 
186: 1079,476,23,68
187: 363,327,881
1100: 1116
189: 163,305,869
190: 272,596,412
191: 425,693,859
192: 296,1115,608
193: 992,502
194: 983,956,569,29
195: 146,457,596
1048: 803,843,799,909
1059: 
198: 427,298,413
199: 640,403,614,966,1013
200: 691,929,1129,271
201: 776,1042,754,25,658
1078: 725,524,498
203: 276
204: 486,160,885
205: 371,717,445
206: 288,627,743,72
207: 1072,1103,579
208: 637
209: 
210: 224,931,225,605
211: 905,701,713
212: 73,223,270
213: 677,16,256
214: 599,180
215: 8,926,767,1098
216: 901,491,11,952
217: 903,932,424,664
218: 466,127,1057
219: 998,363,327,812
220: 948
221: 360,49,643,30,688
222: 585,57,38,1030,81
223: 73,212,336
224: 607,931,210,232
225: 33,931,210
226: 254,1040
227: 132,522,632
228: 488,316,553,656
229: 937,676,1044,712,789,513
230: 125,485,535,514
231: 355,593,183
232: 25,658,769,224,931
233: 975,418,35
234: 240,1038,516
235: 359,1127,889,1047
236: 674,937,676
1061: 739,564,1021,168,790,1018
238: 523,110,90
239: 749
240: 234,689,1038,1101
241: 718,267,100,894,378
242: 175,263,253
243: 440,1066,755,1112
244: 
245: 973,675,114
246: 1130,1098,1131
247: 953,271,1126,394
248: 357,473,912,1035
249: 1036,454
250: 358,1120,820
1083: 649,259,297,795
1035: 612,513,978,912,248
253: 33,242,493
254: 226,684,1040,1037
255: 515,774,322,1116,894,19
256: 879,382,677,213
257: 1097,87,395
258: 917,384
259: 297,165,483,1083
260: 393
261: 847
262: 94,362,509,590
263: 242
264: 711,460
1114: 651,665,635,1103
266: 802,84,619,138,838
267: 1063,718,241,100,183
268: 329,101,1045,792
269: 996,91,1036,466
270: 212,396
271: 953,95,247,200,1129
272: 190,457,831,949
1101: 498,479,240
1080: 146,646
275: 972,623,64,1006,429
276: 1016,858,203
277: 862,680,884
1102: 766,1069
1126: 813,630,394,953,247
280: 714,1000,631,778,981
281: 898,399,294,174
282: 695,150,311,1007
283: 341,797,554,715
284: 
1119: 748
286: 113,779,962,957,401
287: 446,489,526
288: 206,627,435
289: 330,973,682,4
290: 803,653,629
291: 818
292: 849,819,31
1052: 1109,1073,843
294: 399,124,50,281,898
295: 1002
296: 192,1115,829,608
297: 259,795,1083
298: 198,427,671,361
299: 400,51,439
300: 1062,991,1085
301: 61,818
302: 1010
303: 337,740,985,639
304: 96,951
305: 869,189,17
306: 922,9
307: 52,1106
308: 949,32,412,550,1034
309: 67,441
310: 935,1099,395
311: 479,1092,282,695,1007,525
312: 418,1111,815
313: 938,173,34,825
314: 1039,142,1032
315: 585
316: 488,228,553
1049: 403,1070,633,474
318: 459,35
1070: 403,14,614,1049,810
320: 657,88
321: 1053,118
322: 255,894,718,353
323: 917,370
324: 698,358,687,566
1028: 850,79,1033,664,1025,20
326: 744,116,970
327: 363,187,219
328: 129,476,959
329: 938,1044,268,792,1027
330: 289,973,114,117
331: 642,727
332: 1081,178,1014
333: 1096
334: 112,1054,805
335: 1060,741,734
336: 1071,223
337: 303,740,639,1088,1132
338: 107,1082,534
339: 927,148,116,381
340: 65,963,611
341: 283,1005,949
1024: 84,888,619,487
1037: 489,254,497
1103: 207,1072,1114,940,635
345: 372
346: 559,758,961,922
347: 1043,854,94,984
348: 948,24,942
349: 169,527,535
350: 551,113,779,565
351: 412,581,550,990
352: 70,361,44,373,1001
353: 742,322
1063: 718,267,742
355: 231,154
356: 367
357: 248,473,730,866
358: 250,1120,687,324
359: 235,748,1046,889,93
360: 221,49,1067,107
361: 44,671,298,352
