305: 869,17
306: 922,63,1057,218,9,188
307: 844,52,364,756,624
308: 949,341,32,190,550
309: 159,13,441,586,5,67
310: 860,935,87,982,395
311: 525,522,695,404,132
312: 811,459,418,815
313: 905,173,34
314: 103,416,883,810,142
315: 585
316: 40,174,488
1049: 122,810,930,1070,403
318: 521,261,811
1070: 633,930,474,1049,403
320: 352,1,660,44
321: 913,799
322: 894,255,241,267
323: 258,486,384
324: 698,358,687,566
325: 1078,102,524,490,375
326: 744,116,970
327: 363,760,219
328: 129,959,476
329: 268,676,229,789
330: 973,114,117
331: 216,952,642
332: 1081
333: 555,408
334: 1054,652,805
335: 1060,741,734
336: 230,125,1031,1071,223
337: 303,985,639,740,158,696
338: 534,1082
339: 927
340: 134
341: 308,949,831,283,32
342: 178
1037: 83,670,837,542
344: 
345: 372,588
346: 559,758,961,578
347: 780,447
348: 942,1023,377,948
349: 212
350: 551,113,478,565
351: 550,581,412,990,556
352: 320,745,373,70,1
353: 742,515
1063: 718,1039,183
355: 593,1039,50,641,154,183
356: 367,300
357: 248,912,730
358: 250,687,324
359: 783,748,1003,434,93,889
360: 221,49,1067,107
361: 55,745,373,298
362: 81,622,18
363: 327
364: 52,986,844,307
365: 1035,1016,923,971,243,519
366: 601,903,470
367: 356,1085
368: 173,893
369: 516,234
370: 875,1038,82
371: 531,379,701,980,205
372: 345,405,588
373: 745,361,352,70
374: 954,128,600
375: 492,490,102,1061,325
376: 194,1020,29,569,491,11
377: 939,942,348,977,880
378: 100,241,649,1083,762,872
379: 531,371,205,171,430
380: 291,1076,89
381: 116,970
382: 879,754,256
1077: 508,741,35,233
384: 220,399,323,486,885,1043
1074: 775
386: 732,592
387: 998,950
388: 19,774,992,193
1066: 440,934,1029,243,1033,143,923
390: 704
391: 37,130,446
392: 932,715
393: 855,847
394: 85,276,1010,953,813,78
395: 425,1036,87,935,310,257
396: 1064,270
397: 301,685,528
398: 866,510
399: 281,384,885,1043,294
400: 1080,1025,252,51
401: 74,206,944,286,477,1008
402: 932,462,967
403: 14,1049,1070,474
404: 824,695,311
405: 999,120,588,372
1075: 109,694,686
407: 121,957,851,594,962,853
408: 1019,333
409: 611,661,279
410: 828,729,1032,963
411: 561,925,750,280,463
412: 990,583,190,1022,351
413: 512,600
414: 269,996,842,936,249
415: 419,1005,420
416: 941,883,142,126,314
417: 536,667
418: 35,811,312
419: 415,728,801,122,21
420: 415,941,21
421: 469,569,491,519,428
422: 823,887,607,755,605,871
423: 180
424: 225,770,931,210
425: 693,395,1036,935
426: 875,104,1038,783,1003
427: 452,292
428: 491,519,172,421
429: 64,80,46
430: 171,573,379,717
431: 921,633,837,501
1084: 918,708
433: 673,638,284,128,856
434: 568,359,748,93
435: 7,288,856,101
436: 791,692,41
437: 175,776,263,802,781
438: 137,540,84,1001
439: 828,809
440: 475,934,1066,1033
441: 309,13,861,67,1030,59
442: 737
443: 814,620,597
444: 492,993
445: 720,171
446: 548,391
447: 82,347
448: 812,598,681
449: 777,884,604,648,914,683
450: 130,955,753
451: 516,498,490,993
452: 427
453: 584,889,235,659,86
454: 249,820,687
455: 
456: 
457: 195,596,481,707
458: 52,986,696,99
459: 261,811,312,260,54
460: 717,839,264
461: 794
462: 932,402,217,664,647
463: 631,265,841,411,925
1067: 30,360
465: 105
466: 127,1057,133,218
467: 806,855,847,848
1079: 186,476
469: 914,421,569,971,965
470: 493,654,366,601
471: 711,44,724,145
472: 1018
473: 562,912,1011,623
474: 633,1070,501,403
475: 440,934,960
476: 959,23,1079,186,328
477: 779,1008,401,944,286,1044
478: 485,514,170,987,350
479: 1078,498,525,689
480: 1046,131,227,159
481: 967,707,457
482: 1076,705
483: 297,259,546,124
484: 663
485: 514,478,125
486: 323,258,204,885,384
487: 173,893,84,888
488: 174,316,154,969
489: 672,287
490: 375,993,325,451
491: 428,421,569,376,11,517
492: 444,375,77,58
493: 470,33,770,601
1087: 694,260,54,897
495: 706,928
1069: 766
497: 254,62,553,684
498: 1078,479,451,689
499: 45
500: 1085,1048
501: 837,431,633,474
502: 193,992
503: 739,1015,575,822,136
504: 653
505: 795,616,762,688,649
506: 745,509
507: 961,559,92
508: 1077,1060,741,521
509: 262,506,44
510: 398
511: 972,275,562,623
512: 413,600,610
513: 978
514: 485,478,565,982
515: 353,193
516: 240,451,369,234
517: 11,200,491,172
518: 188,788
519: 428,971,1016,365,421
520: 666,1062
521: 318,508
522: 525,311,586,132,227,159
523: 103,723
524: 102,325,1078
525: 311,586,522,479,689
526: 670,867,548
527: 535,169
528: 161,752,189,685,397
529: 
530: 155,666,185
531: 371,379,699,713
532: 534,1014
533: 536,126
534: 338,147,1014,532
535: 527,860
536: 417,533
537: 728,801
538: 142,114,574,723
1047: 795,616,165,613,60
540: 137,438,825,768
541: 72,1027,22
542: 1013,1037,868
543: 244
544: 
545: 570,736,821,874,1042
546: 613,165,483,297
547: 772,925,750
548: 446,572,526
549: 1004,1035,1016,765
550: 351,581,308,668
551: 350,113,170,1006,43,615
552: 28,974,1053
553: 628,684,497
554: 831,715,283,797
555: 333
556: 351,581,990,296,829
557: 805,926,652
558: 599,151,972
559: 346,507,92
560: 278,95,858
561: 411,750,577,714,908
562: 912,473,511,623
563: 163,732
564: 739,876,153
565: 779,350,113,514
566: 698,324
567: 710,719,1021
568: 595,434,748
569: 469,914,421,648,491,194,376
570: 545,736,838,821
571: 1055,1026,577,1000,908,271,929
572: 37,865,548
573: 171,430,839
574: 114,723,538
